gene_id	isoform	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp102530_c0	seq1.p1	0	0	0	7	1	1
comp102530_c0	seq2.p1	0	0	0	3	2	0
comp102530_c1	seq1.p1	0	0	0	16	0	0
comp102540_c0	seq1.p1	6	2	6	19	7	2
comp102543_c0	seq2.p1	1	2	0	2	1	2
comp102566_c2	seq1.p1	0	0	0	0	4	6
comp102573_c1	seq1.p1	0	0	41	0	0	5
comp102578_c0	seq2.p1	27	15	0	3	7	1
comp102580_c0	seq1.p1	2	2	0	0	5	0
comp102584_c0	seq1.p1	189	126	38	67	101	201
comp102594_c0	seq1.p1	3	1	4	1	4	2
comp102597_c0	seq1.p1	7	21	91	0	0	2
comp102609_c0	seq1.p1	216	153	299	99	107	224
comp102611_c0	seq1.p1	77	42	80	155	192	257
comp102611_c0	seq2.p1	205	209	267	433	331	626
comp102615_c0	seq1.p1	17	13	16	20	7	32
comp102618_c0	seq1.p1	0	2	4	8	5	13
comp102620_c0	seq1.p1	1	0	3	0	10	22
comp102630_c0	seq1.p1	366	376	561	122	182	456
comp102642_c3	seq1.p1	1	1	6	3	0	2
comp102650_c0	seq1.p1	470	414	293	61	88	163
comp102651_c0	seq1.p1	2	0	6	2	5	1
comp102655_c0	seq1.p1	0	1	2	4	0	4
comp102666_c0	seq1.p1	11	4	0	0	0	0
comp102688_c0	seq1.p1	0	1	0	2	2	0
comp102688_c0	seq2.p1	2	1	4	2	6	0
comp10268_c0	seq1.p1	1	10	1	1	0	1
comp102702_c0	seq1.p1	62	53	309	0	0	501
comp102714_c0	seq1.p1	0	2	3	0	4	1
comp102714_c0	seq2.p1	1	0	2	1	3	11
comp102718_c0	seq1.p1	14	14	3	0	0	4
comp102718_c1	seq1.p1	1	2	0	0	0	2
comp102718_c1	seq2.p1	25	19	11	0	1	8
comp102719_c0	seq1.p1	15	11	8	17	28	18
comp102735_c0	seq1.p1	3	1	4	1	5	3
comp102759_c0	seq1.p1	3	4	4	2	2	4
comp102772_c0	seq1.p1	2	1	4	0	0	9
comp102772_c1	seq1.p1	3	3	1	0	0	5
comp102774_c1	seq1.p1	6	4	5	3	3	18
comp102779_c0	seq1.p1	1	0	0	4	3	6
comp102796_c0	seq1.p1	290	218	382	113	96	141
comp102809_c1	seq1.p1	2	0	4	12	4	3
comp102819_c0	seq1.p1	1	1	4	3	1	4
comp10281_c0	seq1.p1	0	0	1	0	10	2
comp102823_c0	seq1.p1	11	2	2	2	2	0
comp102840_c0	seq3.p1	130	124	110	1	1	0
comp102845_c1	seq2.p1	1	2	3	1	1	5
comp102860_c0	seq1.p1	5	12	8	5	3	2
comp102881_c0	seq1.p1	0	0	0	0	166	0
comp102883_c0	seq2.p1	10	24	2	6	4	4
comp102883_c0	seq3.p1	4	8	12	3	10	5
comp102895_c0	seq1.p1	0	1	0	9	7	12
comp102903_c0	seq1.p1	2	1	8	0	0	0
comp102908_c0	seq3.p1	16	37	4	5	8	12
comp102911_c1	seq1.p1	1	1	1	2	2	5
comp102912_c0	seq1.p1	0	1	0	1	2	2
comp102912_c0	seq2.p1	8	5	0	6	9	0
comp102926_c0	seq1.p1	22	9	49	1	0	35
comp102938_c1	seq1.p1	1	0	1	2	0	2
comp102942_c0	seq1.p1	4	7	0	4	0	0
comp102952_c0	seq1.p1	1	3	2	3	0	4
comp102960_c0	seq1.p1	0	0	12	0	0	7
comp102960_c2	seq1.p1	0	0	20	0	0	19
comp102960_c3	seq1.p1	0	0	8	0	0	11
comp102962_c0	seq3.p1	370	199	230	634	505	1004
comp102964_c0	seq1.p1	0	2	1	3	5	5
comp10296_c0	seq1.p1	1	1	2	1	0	1
comp102975_c0	seq1.p1	1	0	0	1	0	10
comp102977_c0	seq1.p1	6	4	0	20	0	1
comp102977_c0	seq2.p1	3	3	1	4	0	0
comp102980_c0	seq2.p1	8	3	3	1	8	5
comp102981_c0	seq3.p1	2	3	0	0	0	3
comp102982_c0	seq1.p1	0	9	2	0	0	0
comp102984_c0	seq1.p1	2	0	2	1	6	6
comp102988_c0	seq2.p1	5	0	6	7	2	1
comp102988_c1	seq1.p1	3	1	7	9	3	3
comp102992_c0	seq2.p1	4	1	3	1	0	0
comp102992_c1	seq1.p1	5	2	2	5	0	0
comp102995_c0	seq1.p1	468	300	4	34	77	3
