gene_id	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp104179_c0	3	12	0	6	0	2
comp104184_c0	1	3	1	0	0	2
comp104192_c0	330	24	90	6	66	1
comp104209_c0	0	3	1	0	4	3
comp104218_c1	2	1	1	4	0	2
comp104220_c2	0	0	2	7	10	3
comp104222_c0	0	2	12	0	0	18
comp104232_c0	1	1	2	3	1	2
comp104236_c0	0	0	0	1	2	7
comp104237_c0	3331	2862	2828	1015	1733	1949
comp10423_c0	2	1	20	0	0	0
comp104247_c0	106	65	76	95	148	129
comp104254_c0	2	1	0	1	0	4
comp104255_c0	9	6	12	0	2	0
comp104258_c0	2	1	2	4	6	10
comp104265_c0	12	4	8	1	2	15
comp104272_c0	0	1	1	5	2	5
comp10427_c0	2	4	2	1	2	2
comp104280_c0	2	1	5	4	0	3
comp104280_c2	1	4	1	3	0	2
comp104288_c0	6	3	34	13	6	5
comp104300_c0	2	9	4	2	3	9
comp104306_c0	0	2	1	0	7	1
comp104311_c0	0	2	1	1	1	0
comp104327_c0	15	22	5	1	3	12
comp104329_c1	0	0	1	1	217	2
comp104333_c0	5	2	5	0	0	1
comp104335_c1	15	6	5	0	0	0
comp104344_c0	84	74	84	124	194	160
comp104346_c0	4	11	0	0	0	0
comp104358_c0	0	3	0	1	1	2
comp104359_c2	2	6	18	0	1	0
comp104361_c1	3	3	1	2	1	1
comp104366_c0	2	4	2	3	13	9
comp104381_c1	0	2	1	1	3	0
comp104384_c0	4	3	0	1	1	0
comp104385_c0	2	3	2	4	0	1
comp104391_c0	0	2	0	1	7	2
comp104393_c0	3	3	6	4	1	3
comp104400_c0	5	2	3	4	2	7
comp104402_c0	0	1	3	3	5	7
comp104408_c0	0	0	2	6	2	12
comp104410_c0	0	1	4	0	0	4
comp10441_c0	0	2	2	0	1	0
comp104424_c1	0	0	0	2	2	6
comp104426_c0	1	4	7	1	2	3
comp104431_c0	1	3	0	4	1	13
