gene_id	gameto_1	gameto_2	sporo_5	sporo_6
AagrBONN_evm.TU.Sc2ySwM_117.1226	1245	1948	3421	12444
AagrBONN_evm.TU.Sc2ySwM_117.1227	6	15	39	75
AagrBONN_evm.TU.Sc2ySwM_117.1228	1681	2021	70	63
AagrBONN_evm.TU.Sc2ySwM_117.1229	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.123	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1230	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1231	507	757	1178	4739
AagrBONN_evm.TU.Sc2ySwM_117.1232	125	168	153	268
AagrBONN_evm.TU.Sc2ySwM_117.1233	53	53	526	2227
AagrBONN_evm.TU.Sc2ySwM_117.1234	14	18	171	272
AagrBONN_evm.TU.Sc2ySwM_117.1235	0	0	3	3
AagrBONN_evm.TU.Sc2ySwM_117.1236	1	3	7	35
AagrBONN_evm.TU.Sc2ySwM_117.1237	1	2	239	1278
AagrBONN_evm.TU.Sc2ySwM_117.1238	0	0	0	1
AagrBONN_evm.TU.Sc2ySwM_117.1239	1	0	22	29
AagrBONN_evm.TU.Sc2ySwM_117.124	9	10	21	17
AagrBONN_evm.TU.Sc2ySwM_117.1240	1	0	8	3
AagrBONN_evm.TU.Sc2ySwM_117.1241	0	3	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1242	1006	1183	1710	7345
AagrBONN_evm.TU.Sc2ySwM_117.1243	548	1104	849	3618
AagrBONN_evm.TU.Sc2ySwM_117.1244	1	2	7	0
AagrBONN_evm.TU.Sc2ySwM_117.1245	2574	4158	2573	5964
AagrBONN_evm.TU.Sc2ySwM_117.1246	715	913	1546	4691
AagrBONN_evm.TU.Sc2ySwM_117.1247	469	615	1256	4174
AagrBONN_evm.TU.Sc2ySwM_117.1248	264	434	509	2245
AagrBONN_evm.TU.Sc2ySwM_117.1249	81	89	442	79
AagrBONN_evm.TU.Sc2ySwM_117.125	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1250	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1251	0	0	6	0
AagrBONN_evm.TU.Sc2ySwM_117.1252	0	0	139	197
AagrBONN_evm.TU.Sc2ySwM_117.1253	859	1109	2152	11024
AagrBONN_evm.TU.Sc2ySwM_117.1254	613	831	1228	5768
AagrBONN_evm.TU.Sc2ySwM_117.1255	58	93	528	2272
AagrBONN_evm.TU.Sc2ySwM_117.1256	464	638	1442	1844
AagrBONN_evm.TU.Sc2ySwM_117.1257	2291	3466	10183	18213
AagrBONN_evm.TU.Sc2ySwM_117.1258	588	1013	1666	7411
AagrBONN_evm.TU.Sc2ySwM_117.1259	74	136	175	687
AagrBONN_evm.TU.Sc2ySwM_117.126	0	0	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1260	3	0	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1261	3	0	2	0
AagrBONN_evm.TU.Sc2ySwM_117.1262	1	0	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1263	0	0	2	0
AagrBONN_evm.TU.Sc2ySwM_117.1264	0	0	0	3
AagrBONN_evm.TU.Sc2ySwM_117.1265	27	28	50	106
AagrBONN_evm.TU.Sc2ySwM_117.1266	443	781	646	2559
AagrBONN_evm.TU.Sc2ySwM_117.1267	1257	1494	878	686
AagrBONN_evm.TU.Sc2ySwM_117.1268	183	237	224	174
AagrBONN_evm.TU.Sc2ySwM_117.1269	230	328	514	150
AagrBONN_evm.TU.Sc2ySwM_117.127	0	0	4	0
AagrBONN_evm.TU.Sc2ySwM_117.1270	335	351	717	2359
AagrBONN_evm.TU.Sc2ySwM_117.1271	20235	34659	7957	4413
AagrBONN_evm.TU.Sc2ySwM_117.1272	404	549	844	3459
AagrBONN_evm.TU.Sc2ySwM_117.1273	243	234	319	1159
AagrBONN_evm.TU.Sc2ySwM_117.1274	1775	2239	2742	10421
