gene_id	gameto_5	gameto_6	gameto_7	sporo_7	sporo_8	sporo_9
Pp3c10_19280	522	663	125	129	4	201
Pp3c10_19289	0	0	0	0	0	0
Pp3c10_19320	36	26	60	361	80	60
Pp3c10_19330	515	464	760	593	182	222
Pp3c10_19360	11	6	17	2	5	3
Pp3c10_19370	0	0	0	0	0	0
Pp3c10_19380	124	109	128	187	56	96
Pp3c10_19430	908	750	930	707	182	363
Pp3c10_19450	2	0	3	25	2	11
Pp3c10_19460	333	362	347	17046	5957	8164
Pp3c10_19520	0	1	0	0	0	0
Pp3c10_19529	0	3	2	3	0	0
Pp3c10_19541	5	11	10	0	0	0
Pp3c10_19560	531	391	676	730	383	502
Pp3c10_19570	775	665	810	807	229	365
Pp3c10_19590	385	335	401	516	220	285
Pp3c10_1960	101	147	119	160	45	111
Pp3c10_1963	69	109	74	69	17	55
Pp3c10_19630	11723	10977	10530	1961	449	938
Pp3c10_19650	962	880	872	198	56	143
Pp3c10_19680	11	16	13	12	1	12
Pp3c10_19730	15	19	23	0	0	0
Pp3c10_19740	1952	1654	1769	149	56	156
Pp3c10_1980	39	29	25	242	38	110
Pp3c10_19810	339	297	374	174	127	189
Pp3c10_19820	0	0	0	0	0	0
Pp3c10_19830	0	0	0	0	0	0
Pp3c10_19840	796	685	916	809	234	380
Pp3c10_19850	0	1	0	0	0	0
Pp3c10_19860	0	0	0	0	0	0
Pp3c10_19880	168	123	186	321	160	158
Pp3c10_19890	301	223	270	335	205	250
Pp3c10_1990	2	6	1	25	3	4
Pp3c10_19910	437	328	685	305	66	129
Pp3c10_19960	0	0	0	0	0	0
Pp3c10_200	1283	1193	1524	1511	276	507
Pp3c10_20000	1202	1044	806	23	0	12
Pp3c10_20040	426	333	411	384	77	160
Pp3c10_20060	72	56	96	90	41	66
Pp3c10_20080	0	0	0	0	0	0
Pp3c10_20100	47	48	90	643	410	401
Pp3c10_20120	76	46	78	15148	5305	11815
Pp3c10_20140	225	220	283	3998	1610	2823
Pp3c10_20146	0	1	0	10	1	5
Pp3c10_20150	6	12	10	13	3	9
Pp3c10_20160	397	375	476	1598	365	720
Pp3c10_2020	656	664	542	662	151	238
Pp3c10_20210	1403	1069	1567	878	106	405
Pp3c10_20230	386	289	410	643	221	384
Pp3c10_20240	6505	6916	6841	6108	4948	8635
Pp3c10_20260	346	310	498	197	71	94
Pp3c10_20290	1915	1943	2002	377	182	930
Pp3c10_20300	3541	3153	4144	5712	4009	5400
Pp3c10_20340	0	0	0	0	0	0
Pp3c10_20350	4376	3876	5120	25	33	313
Pp3c10_20360	226	199	208	1150	302	447
Pp3c10_2038	91	66	82	46	6	14
Pp3c10_20380	2552	2360	2890	3457	607	1131
Pp3c10_20400	665	505	595	772	152	262
Pp3c10_20440	2	0	0	0	0	0
Pp3c10_20450	272	265	320	566	113	280
Pp3c10_20470	893	705	924	783	336	595
Pp3c10_20481	276	378	70	44	18	10
Pp3c10_20490	269	368	69	44	17	9
Pp3c10_20499	69	98	16	3	4	2
Pp3c10_20560	0	0	0	0	0	0
Pp3c10_20570	0	0	0	0	0	0
Pp3c10_20580	4	3	0	0	0	1
Pp3c10_20601	6	4	4	0	1	2
Pp3c10_20620	175	176	97	85	28	38
Pp3c10_20630	500	493	246	281	126	116
Pp3c10_20650	0	0	0	3	0	3
Pp3c10_20660	28	36	30	249	37	69
Pp3c10_20682	12	16	8	129	17	24
Pp3c10_20690	0	0	0	0	0	0
Pp3c10_2070	0	0	0	1	2	3
Pp3c10_20700	79	45	84	1	7	31
Pp3c10_20710	10232	8534	11677	689	363	464
Pp3c10_20720	3347	2808	4678	801	159	150
Pp3c10_20731	1	2	1	0	0	0
Pp3c10_20740	3261	2767	3446	5916	3315	4069
Pp3c10_20750	911	737	1118	2183	621	946
Pp3c10_20760	0	0	0	0	0	0
Pp3c10_20770	0	0	0	0	0	0
Pp3c10_20780	0	0	0	0	0	0
Pp3c10_20790	0	0	0	2	0	0
Pp3c10_2080	0	0	0	0	0	0
Pp3c10_20800	146	115	240	198	16	68
Pp3c10_20820	151	132	159	215	61	97
Pp3c10_20840	1408	1219	1604	2774	913	1655
Pp3c10_20850	5	5	5	114	64	55
Pp3c10_20860	249	204	328	561	80	155
Pp3c10_20867	249	204	328	561	80	155
Pp3c10_20870	411	435	496	338	183	356
Pp3c10_20880	0	0	0	0	0	0
Pp3c10_2090	0	0	0	0	0	0
Pp3c10_20900	1349	1303	1475	4642	1006	1283
Pp3c10_2091	0	0	0	0	0	0
Pp3c10_20920	705	539	689	740	428	572
Pp3c10_20930	134	81	149	151	18	58
Pp3c10_20940	5	5	1	13	1	7
Pp3c10_20941	5	5	1	13	1	7
Pp3c10_20950	1017	996	1170	601	258	459
Pp3c10_20960	198	181	309	1295	469	605
Pp3c10_21020	1900	1470	1996	437	151	275
Pp3c10_21024	0	1	0	1	2	1
Pp3c10_21040	3291	3040	3351	1633	427	732
Pp3c10_21080	0	0	0	0	0	0
Pp3c10_21090	0	1	0	2	0	0
Pp3c10_2110	193	142	269	508	374	565
Pp3c10_21100	0	0	0	5	0	0
Pp3c10_21120	633	586	731	718	233	446
Pp3c10_21160	259	215	236	750	172	414
Pp3c10_21170	231	169	337	776	714	727
Pp3c10_2120	1	0	0	2	0	2
Pp3c10_21201	3	6	9	0	0	0
Pp3c10_21210	1	6	1	0	0	0
Pp3c10_21250	427	275	716	21	23	54
Pp3c10_21260	155	73	237	25	8	40
Pp3c10_2129	3	0	2	1	1	4
Pp3c10_21290	6	8	10	4	4	7
Pp3c10_21310	985	658	2035	58	47	342
